熱負荷[kW],処理負荷[kW],負荷率（実質）[-],低圧[MPa],高圧[MPa],圧縮機消費電力[kW],室外機ファン消費電力[kW],室内機消費電力（合算）[kW],圧縮機COP[-],システムCOP[-],室内機1処理負荷[kW],室内機1顕熱比[-],室内機2処理負荷[kW],室内機2顕熱比[-],室内機3処理負荷[kW],室内機3顕熱比[-],室内機4処理負荷[kW],室内機4顕熱比[-],室内機5処理負荷[kW],室内機5顕熱比[-],室内機6処理負荷[kW],室内機6顕熱比[-],室内機7処理負荷[kW],室内機7顕熱比[-],室内機8処理負荷[kW],室内機8顕熱比[-],室内機9処理負荷[kW],室内機9顕熱比[-],室内機10処理負荷[kW],室内機10顕熱比[-],室内機11処理負荷[kW],室内機11顕熱比[-],室内機12処理負荷[kW],室内機12顕熱比[-],室内機13処理負荷[kW],室内機13顕熱比[-],室内機14処理負荷[kW],室内機14顕熱比[-],室内機15処理負荷[kW],室内機15顕熱比[-],室内機16処理負荷[kW],室内機16顕熱比[-]
0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0,0,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000
5.60,5.60,0.017,1.103,1.754,2.96,1.65,1.12,1.89,0.98,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.75,1.000,0.75,1.000,0.70,1.000,0.69,1.000,0.73,1.000,0.74,1.000,0.00,0.000,1.25,1.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
24.20,24.20,0.087,1.102,1.902,8.94,1.65,1.12,2.71,2.07,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,2.87,1.000,3.09,1.000,3.04,1.000,3.25,1.000,3.50,1.000,3.33,1.000,0.00,0.000,5.10,1.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
29.80,29.80,0.135,1.050,2.027,12.70,1.65,1.12,2.35,1.93,3.65,1.000,0.00,0.000,0.00,0.000,2.68,1.000,0.00,0.000,3.67,1.000,4.21,1.000,4.59,0.990,4.53,0.992,0.00,0.000,0.00,0.000,6.47,1.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
43.50,43.50,0.232,1.055,2.205,18.61,1.65,1.12,2.34,2.03,3.42,1.000,1.54,1.000,3.60,1.000,2.39,1.000,0.00,0.000,3.99,1.000,4.25,1.000,4.73,0.974,4.36,1.000,0.00,0.000,0.00,0.000,6.45,1.000,2.77,1.000,0.00,0.000,3.00,1.000,3.00,1.000
31.70,31.70,0.142,1.102,2.094,13.15,1.65,1.12,2.41,1.99,2.83,1.000,3.31,1.000,0.00,0.000,0.00,0.000,0.00,0.000,3.41,1.000,3.28,1.000,3.87,1.000,0.00,0.000,0.00,0.000,2.22,1.000,5.28,1.000,2.14,1.000,0.00,0.000,2.78,1.000,2.58,1.000
35.00,35.00,0.185,1.033,2.156,15.95,1.65,1.12,2.19,1.87,4.45,1.000,4.83,1.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,5.40,0.906,5.73,0.881,0.00,0.000,0.00,0.000,0.00,0.000,7.59,1.000,3.00,1.000,0.00,0.000,0.00,0.000,4.00,1.000
32.70,32.70,0.166,1.101,2.227,14.78,1.65,1.12,2.21,1.86,2.92,1.000,0.00,0.000,0.00,0.000,1.59,1.000,2.40,1.000,2.61,1.000,3.43,1.000,3.61,1.000,2.81,1.000,2.63,1.000,0.00,0.000,4.76,1.000,1.93,1.000,0.00,0.000,1.62,1.000,2.39,1.000
33.30,33.30,0.182,1.101,2.311,15.78,1.65,1.12,2.11,1.80,3.81,1.000,0.00,0.000,0.00,0.000,2.84,1.000,0.00,0.000,0.00,0.000,4.50,1.000,4.58,0.994,0.00,0.000,0.00,0.000,3.12,1.000,5.94,1.000,2.54,1.000,0.00,0.000,2.68,1.000,3.29,1.000
32.50,32.50,0.177,1.093,2.295,15.49,1.65,1.12,2.10,1.78,3.73,1.000,0.00,0.000,0.00,0.000,2.17,1.000,0.00,0.000,0.00,0.000,4.56,0.996,4.63,0.986,0.00,0.000,0.00,0.000,2.78,1.000,6.01,1.000,2.47,1.000,0.00,0.000,2.71,1.000,3.45,1.000
